,id,source,lang,full_text,source_url,retweet_count,favorite_count,id_str,user,author,hashtags,quoted_status_id,quoted_status_id_str,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_screen_name,in_reply_to_user_id_str,in_reply_to_user_id
0,1387654233361551361,TweetDeck,bn,জনতা বলছে এবার পিসির বিদায় নিশ্চিত! #BJPKorbe200Paar https://t.co/OABBR26wjK,https://about.twitter.com/products/tweetdeck,59,94,1387654233361551361,BJP4Bengal,BJP4Bengal,['BJPKorbe200Paar'],,,,,,,
1,1387645537831178241,TweetDeck,bn,"বাংলার মানুষের একটাই রায়, তৃণমূলকে বিদায়!

#BJPKorbe200Paar https://t.co/upJze0r7FM",https://about.twitter.com/products/tweetdeck,100,137,1387645537831178241,BJP4Bengal,BJP4Bengal,['BJPKorbe200Paar'],,,,,,,
2,1387636714248671236,TweetDeck,hi,"RT @BJP4India: पिछले सात चरणों के चुनाव में बंगाल की जनता ने टोलाबाजी, तुष्टिकरण, कटमनी और हिंसा की राजनीति के खिलाफ जमकर मतदान किया है।…",https://about.twitter.com/products/tweetdeck,434,0,1387636714248671236,BJP4Bengal,BJP4Bengal,,,,,,,,
3,1387635254274318341,TweetDeck,bn,"বাংলার জনতা দিচ্ছে রায়, ২০০ সিট নিয়ে বিজেপিকে চায়।   #BJPKorbe200Paar https://t.co/V3Pdz3AWT5",https://about.twitter.com/products/tweetdeck,127,238,1387635254274318341,BJP4Bengal,BJP4Bengal,['BJPKorbe200Paar'],,,,,,,
4,1387624096033247232,TweetDeck,bn,পশ্চিমবঙ্গে শেষ অষ্টম দফার নির্বাচনে বাংলার মানুষ গণতন্ত্রের উৎসবে সামিল। #BJPKorbe200Paar https://t.co/eRz2GLhVCW,https://about.twitter.com/products/tweetdeck,208,447,1387624096033247232,BJP4Bengal,BJP4Bengal,['BJPKorbe200Paar'],,,,,,,
5,1387616548559351810,TweetDeck,bn,RT @JPNadda: আজ পশ্চিমবঙ্গে শেষ দফার অর্থাৎ অষ্টম দফার নির্বাচন চলছে। আমি সকল ভোটারদের কাছে আবেদন করছি কোভিড সাবধানতা অবলম্বন করে 'সোনার…,https://about.twitter.com/products/tweetdeck,444,0,1387616548559351810,BJP4Bengal,BJP4Bengal,,,,,,,,
6,1387610089205354502,TweetDeck,bn,"আপনার ভোট হোক সোনার বাংলা গড়তে,

নিজের ভোট নিজে দিন, সকাল সকাল ভোট দিন। https://t.co/BZtQnadicO",https://about.twitter.com/products/tweetdeck,110,193,1387610089205354502,BJP4Bengal,BJP4Bengal,,,,,,,,
7,1387602538325762053,TweetDeck,bn,"আপনার ভোট হোক বাংলার গৌরব ফিরিয়ে আনতে,

নিজের ভোট নিজে দিন, সকাল সকাল ভোট দিন। https://t.co/RoGVwnN7ZM",https://about.twitter.com/products/tweetdeck,74,116,1387602538325762053,BJP4Bengal,BJP4Bengal,,,,,,,,
8,1387594988859633666,TweetDeck,bn,"করোনা বিধি মেনে চলুন।

করোনাকে নয় একদম ভয়।
 উপযুক্ত ঔষধ আর সর্তকতাই আনবে করোনার বিরুদ্ধে জয়। https://t.co/jSIuKejnut",https://about.twitter.com/products/tweetdeck,79,113,1387594988859633666,BJP4Bengal,BJP4Bengal,,,,,,,,
9,1387589322283520000,TweetDeck,bn,RT @AmitShah: আজ বাংলায় অষ্টম দফার অর্থাৎ অন্তিম পর্বের নির্বাচন।আমি এই পর্বের সকল ভোটারদের কাছে আবেদন জানাচ্ছি যে পূর্বের সাত দফা নির্বাচ…,https://about.twitter.com/products/tweetdeck,944,0,1387589322283520000,BJP4Bengal,BJP4Bengal,,,,,,,,
